held_clone_index,bath_order,lag_frames,correlation_component,observed_correlation,simulated_correlation,simulated_marginal_covariance,thermodynamic_claim_allowed
1.0,40.0,66.0,up,0.0005779959555283231,0.004115477019422191,-0.018247291854831628,0.0
1.0,40.0,66.0,pu,0.00037354184886957323,-0.023851826260940085,-0.018247291854831628,0.0
1.0,40.0,66.0,pp,-0.0016388858154493312,-0.002428110152225488,1.0001404166675334,0.0
1.0,40.0,67.0,uu,0.21903224053024659,0.1701187999338573,1.0538052766600852,0.0
1.0,40.0,67.0,up,0.00031071088659861767,0.0035248390649914602,-0.030063198631050267,0.0
1.0,40.0,67.0,pu,0.0006067621794678461,-0.019598792801884174,-0.030063198631050267,0.0
1.0,40.0,67.0,pp,-0.0011526897830623608,-0.0025558533408443812,0.9954662509241774,0.0
1.0,40.0,68.0,uu,0.21913283369030953,0.1665002590540934,1.0407858204641003,0.0
1.0,40.0,68.0,up,0.00010206123889566039,0.0029115776933531503,-0.04094670291932822,0.0
1.0,40.0,68.0,pu,0.0007732796093692458,-0.01773258742890163,-0.04094670291932822,0.0
1.0,40.0,68.0,pp,-0.0009548657195903416,-0.003681278686805748,1.009134663543921,0.0
1.0,40.0,69.0,uu,0.21926671110089543,0.16401248606532565,1.0247485747493061,0.0
1.0,40.0,69.0,up,-0.00011494617273448005,0.0023471059900292686,-0.04410095459542469,0.0
1.0,40.0,69.0,pu,0.0009294618493306948,-0.009259984304027524,-0.04410095459542469,0.0
1.0,40.0,69.0,pp,-0.0010845954604904058,-0.0005723912576321402,1.0217831788059235,0.0
1.0,40.0,70.0,uu,0.21943996594015094,0.1622967887998761,1.0089577086346002,0.0
1.0,40.0,70.0,up,-0.0003906772168524167,0.0020510849588914336,-0.04175154852618424,0.0
1.0,40.0,70.0,pu,0.0011198585120993638,-0.00945763509173035,-0.04175154852618424,0.0
1.0,40.0,70.0,pp,-0.0013733502392871985,-0.0003902003484591696,1.036369743250454,0.0
1.0,40.0,71.0,uu,0.21966547753395324,0.16007638431085477,0.9952555836174451,0.0
1.0,40.0,71.0,up,-0.0007295329447710363,0.0020246033866675684,-0.03313291853173546,0.0
1.0,40.0,71.0,pu,0.0013845029432799666,-0.012335996348762248,-0.03313291853173546,0.0
1.0,40.0,71.0,pp,-0.0016542079846134014,0.0059590415537636165,1.0420157239331336,0.0
1.0,40.0,72.0,uu,0.21995474658979594,0.15792246705335672,0.9857676177960779,0.0
1.0,40.0,72.0,up,-0.001103568293855,0.003726437274888118,-0.018721767938338053,0.0
1.0,40.0,72.0,pu,0.0016852726055461085,-0.011115335984809105,-0.018721767938338053,0.0
